name;sex;regency;father;mother;place
Lucijeh Vuz;Female;Illusionist;Varacin Vuz;Loturaqeq Vuz;Lufeqolapol
Bilakuge Vuz;Female;Warrior;Mizujedapa Vuz;Loturaqeq Vuz;Lufeqolapol
Tapiriwuge Vuz;Female;Shooter;Mozewad Vuz;Kamu Rusay;Lufeqolapol
Yolopul Vuz;Male;Metaphisic;Boqoceweju Vuz;Topujazas Kabosudu;Lufeqolapol
Fijapeti Vuz;Female;Warrior;Sejaduqe Vuz;Dova Kabosudu;Lufeqolapol
Sowi Yih;Male;Oracle;Hegu Kabosudu;Dozotune Yih;Lufeqolapol
Hoyugegefu Kabosudu;Male;Runic;Gewiwoyofo Kabosudu;Pih Rusay;Lufeqolapol
Fowi Vuz;Female;Warrior;Xoje Yih;Lawiqokon Vuz;Lufeqolapol
Doma Yih;Male;Summoner;Zubebip Vuz;Yavuxudoya Yih;Lufeqolapol
Dakiduno Vuz;Male;Tamer;Raqebudu Kabosudu;Yomuto Vuz;Lufeqolapol
Hulawu Hohacey;Male;Summoner;Yihi Kabosudu;Dug Hohacey;Lufeqolapol
Gateyicaxu Yih;Female;Shooter;Lamiwaf Yih;Setumo Vuz;Lufeqolapol
Yehenaz Vuz;Male;Shooter;Celun Yih;Gemupel Vuz;Lufeqolapol
Toq Kabosudu;Female;Shooter;Zanofo Kabosudu;Kodajorune Kabosudu;Jaci
Moducukuc Vuz;Male;Warrior;Penuhorit Vuz;Boxibuxu Vuz;Noxuzi
Focepiso Kabosudu;Male;Wily;Kodokufa Kabosudu;Polefoze Vuz;Noxuzi
Jujidehu Vuz;Male;Summoner;Hoqi Vuz;Luf Vuz;Noxuzi
Lusubizu Yih;Female;Tamer;Zosafo Yih;Kuta Yih;Faciyevis
Xosuzepey Kabosudu;Male;Warrior;Saq Kabosudu;Sosoyocex Kabosudu;Faciyevis
Bez Vuz;Male;Summoner;Viwikep Vuz;Hotey Kabosudu;Faciyevis
Jegabuduj Kabosudu;Female;Wizard;Wuro Vuz;Cufuluk Kabosudu;Jic
Vafiqeteji Kabosudu;Female;Summoner;Sowi Yih;Layis Kabosudu;Jic
Loturaqeq Vuz;Female;Illusionist;Teno Vuz;Qatezekic Vuz;Jic
Bazuko Kabosudu;Male;Runic;Pehakayoq Kabosudu;Sehakuvi Vuz;Sugovifeme
Regivu Vuz;Female;Warrior;Diji Vuz;Bekumemi Vuz;Jag
Medokuz Vuz;Male;Metaphisic;Tuseva Vuz;Takuna Vuz;Jag
Bunogehuh Kabosudu;Male;Tamer;Gohiseru Yih;Wihoqekat Kabosudu;Poduzeguda
Vulozemiqa Kabosudu;Female;Shooter;Peluz Kabosudu;Fodijode Vuz;Yogu
Taq Kabosudu;Male;Summoner;Rez Yih;Vibo Kabosudu;Wuxe
Buvudic Vuz;Male;Tamer;Yolopul Vuz;Musaxeh Vuz;Qinu
Rez Yih;Male;Tamer;Vaxopel Mojevise;Moraf Yih;Qinu
Degu Kabosudu;Female;Oracle;Lureliw Kabosudu;Ren Kabosudu;Qinu
Fuxi Vuz;Female;Warrior;Tarona Vuz;Gim Vuz;Qinu
Bayeju Vuz;Male;Runic;Tojubi Vuz;Koqiqiy Kabosudu;Cariliduco
Takudemasa Kabosudu;Female;Summoner;Hogaca Vuz;Romiguvade Kabosudu;Cariliduco
Cihon Vuz;Female;Warrior;Cadum Vuz;Qove Kabosudu;Cariliduco
Hezevefe Vuz;Male;Shooter;Siq Kabosudu;Zunemelazu Vuz;Cariliduco
Cobag Vuz;Male;Illusionist;Jumo Kabosudu;Cisa Vuz;Cariliduco
Vizav Vuz;Female;Summoner;Yonegokaca Vuz;Fawisuduw Kabosudu;Cariliduco
Cadum Vuz;Male;Tamer;Mixew Kabosudu;Fodijode Vuz;Cariliduco
Faligedaha Kabosudu;Female;Warrior;Fupijowez Kabosudu;Kutel Kabosudu;Qeqekir
Geqifupo Vuz;Female;Wizard;Jex Vuz;Boxibuxu Vuz;Qeqekir
Digico Yih;Female;Metaphisic;Zosafo Yih;Peseqaviro Yih;Tebe
Qoter Hohacey;Male;Shooter;Hulawu Hohacey;Fuxi Vuz;Tebe
Qoqawa Vuz;Male;Tamer;Hoqi Vuz;Polefoze Vuz;Voqib
Monotupa Kabosudu;Male;Warrior;Havag Vuz;Tixoriba Kabosudu;Voqib
Raqebudu Kabosudu;Male;Shooter;Yimakiher Kabosudu;Koriyexiq Kabosudu;Miqa
Fodijode Vuz;Female;Grunph;Bit Kabosudu;Toq Vuz;Zilafal
Rupacusu Yih;Male;Shooter;Zebixuvod Vuz;Woyoyuxe Yih;Zilafal
Minafun Vuz;Male;Oracle;Boqoceweju Vuz;Ban Kabosudu;Zilafal
Xoli Kabosudu;Female;Tamer;Dene Kabosudu;Vuvamewipi Kabosudu;Zilafal
Celun Yih;Male;Wizard;Lamiwaf Yih;Faligedaha Kabosudu;Yoke
Pakutef Vuz;Female;Illusionist;Yonegokaca Vuz;Faligedaha Kabosudu;Yoke
Bima Vuz;Female;Runic;Zaqe Vuz;Boxibuxu Vuz;Yoke
Toq Vuz;Female;Runic;Havag Vuz;Vuvamewipi Kabosudu;Yoke
Yawoh Yih;Female;Runic;Hasobiyeb Kabosudu;Dozotune Yih;Yoke
Mutiyijoku Vuz;Female;Wily;Moducukuc Vuz;Geqifupo Vuz;Yoke
Hasobiyeb Kabosudu;Male;Tamer;Lamiwaf Yih;Luv Kabosudu;Vofererah
Kenavajem Vuz;Female;Wily;Jujidehu Vuz;Dikijone Vuz;Vofererah
Romiguvade Kabosudu;Female;Runic;Disuzopi Rusay;Runeyawufo Kabosudu;Vofererah
Pih Rusay;Female;Illusionist;Gaquj Nocisus;Neh Rusay;Vofererah
Mige Vuz;Female;Wily;Hoyo Yih;Mucuveh Vuz;Ropixa
Levasuh Kabosudu;Male;Warrior;Lugal Kabosudu;Runeyawufo Kabosudu;Ducuq
Qiwovu Vuz;Male;Necromancer;Yimakiher Kabosudu;Bojitu Vuz;Ducuq
Pabas Kabosudu;Male;Runic;Somo Kabosudu;Bamak Kabosudu;Ducuq
Yikosuf Vuz;Female;Oracle;Celun Yih;Gemupel Vuz;Juquyevo
Misanuderu Kabosudu;Male;Metaphisic;Sukux Kabosudu;Ziduye Vuz;Juquyevo
Wop Kabosudu;Female;Illusionist;Yimakiher Kabosudu;Polefoze Vuz;Teluba
Kebat Hohacey;Female;Warrior;Qoter Hohacey;Moy Hohacey;Teluba
Gaquj Nocisus;Male;Grunph;Hamezig Nocisus;Koqiqiy Kabosudu;Teluba
Kefih Vuz;Male;Oracle;Moducukuc Vuz;Wiyahoso Vuz;Teluba
Saq Kabosudu;Male;Metaphisic;Neqihucoqo Yih;Mes Kabosudu;Vidomohop
Ter Kabosudu;Male;Tamer;Pehakayoq Kabosudu;Lih Vuz;Vidomohop
Mizujedapa Vuz;Male;Wily;Jex Vuz;Qatezekic Vuz;Gum
Hoxa Kabosudu;Male;Tamer;Yakim Kabosudu;Yomuto Vuz;Xigepe
Yiqob Nocisus;Male;Metaphisic;Quyakiwuy Nocisus;Zec Vuz;Xigepe
Tehejarowo Wupejab;Male;Wily;Vekica Wupejab;Moraf Yih;Xigepe
Qatezekic Vuz;Female;Shooter;Danutay Vuz;Yeqades Vuz;Xigepe
Doyigajac Vuz;Male;Summoner;Kefih Vuz;Helere Kabosudu;Xigepe
Bav Vuz;Male;Oracle;Tumijutev Vuz;Kenavajem Vuz;Xigepe
Xitalobidi Coheyawo;Male;Illusionist;Qegumecaq Coheyawo;Sedumopef Codakar;Xigepe
Qilisi Vuz;Male;Runic;Muwa Vuz;Gujahapu Kabosudu;Xigepe
Hamezig Nocisus;Male;Tamer;Codahu Nocisus;Wijufe Coheyawo;Xigepe
Yoyodi Vuz;Male;Runic;Kodokufa Kabosudu;Helupul Vuz;Xigepe
Sejaduqe Vuz;Male;Shooter;Kokal Vuz;Caduc Vuz;Xigepe
Bojitu Vuz;Female;Runic;Doma Yih;Robadepaj Vuz;Xigepe
Licaro Kabosudu;Male;Shooter;Sud Vuz;Koriyexiq Kabosudu;Nufusode
Maneb Kabosudu;Female;Necromancer;Saq Kabosudu;Koriyexiq Kabosudu;Nufusode
Yetivupet Yih;Female;Illusionist;Somo Kabosudu;Lavopuk Yih;Nufusode
Jex Vuz;Male;Summoner;Haloc Vuz;Botaho Kabosudu;Jugaxuku
Duve Kabosudu;Male;Shooter;Fubi Kabosudu;Wacocuyar Kabosudu;Jugaxuku
Sedaqud Vuz;Female;Shooter;Zazemuquda Vuz;Vuj Yih;Jugaxuku
Codahu Nocisus;Male;Wily;Mufa Kabosudu;Takunoj Nocisus;Jugaxuku
Sud Vuz;Male;Runic;Fuvazan Vuz;Fijapeti Vuz;Jugaxuku
Fupijowez Kabosudu;Male;Metaphisic;Fubi Kabosudu;Koxotihef Yih;Palasopebo
Hac Kabosudu;Male;Tamer;Fubi Kabosudu;Foyi Vuz;Palasopebo
Ziserome Kabosudu;Male;Tamer;Fel Kabosudu;Xijuwab Kabosudu;Palasopebo
Jeza Vuz;Female;Illusionist;Beboyux Vuz;Lanafac Vuz;Palasopebo
Ziduye Vuz;Female;Runic;Bunogehuh Kabosudu;Pozak Vuz;Gahamoco
Joxeqinab Hohacey;Female;Tamer;Ruyafige Nocisus;Manilode Hohacey;Tocafix
Cisa Vuz;Female;Wily;Bunogehuh Kabosudu;Pozak Vuz;Tocafix
Fab Vuz;Male;Summoner;Tis Kabosudu;Vedin Vuz;Tocafix
Salahohad Kabosudu;Male;Illusionist;Ticower Kabosudu;Toq Kabosudu;Tocafix
Mezuhayo Vuz;Male;Warrior;Mayohim Vuz;Zipanitino Kabosudu;Tocafix
Kodokufa Kabosudu;Male;Runic;Neqihucoqo Yih;Helere Kabosudu;Tocafix
Fuwini Kabosudu;Female;Summoner;Hac Kabosudu;Pozak Vuz;Tocafix
Wihoqekat Kabosudu;Female;Wily;Kak Kabosudu;Zajipuvu Soyido;Tocafix
Beboyux Vuz;Male;Wizard;Wuro Vuz;Regivu Vuz;Tocafix
Noyozitabo Vuz;Female;Oracle;Bazuko Kabosudu;Loturaqeq Vuz;Tocafix
Dug Hohacey;Female;Runic;Fujekifeqi Hohacey;Wizerukic Rusay;Tocafix
Diz Vuz;Female;Runic;Hoyo Yih;Sehakuvi Vuz;Jeyum
Xamu Hohacey;Female;Runic;Hulawu Hohacey;Manilode Hohacey;Qayuvivise
Put Yih;Female;Oracle;Lokato Rusay;Zejahure Yih;Qayuvivise
Taqapab Vuz;Male;Runic;Dawego Vuz;Qoyaviye Vuz;Qayuvivise
Joluya Kabosudu;Female;Summoner;Salahohad Kabosudu;Wunu Kabosudu;Qayuvivise
Xebaq Kabosudu;Male;Oracle;Monotupa Kabosudu;Yes Kabosudu;Qayuvivise
Neqihucoqo Yih;Male;Shooter;Gavahe Yih;Loturaqeq Vuz;Rago
Hoqi Vuz;Male;Wily;Comaci Vuz;Mes Kabosudu;Rago
Tum Vuz;Male;Shooter;Yazigit Kabosudu;Caduc Vuz;Rago
Yeqades Vuz;Female;Tamer;Zebixuvod Vuz;Fujibege Vuz;Rago
Juturajoh Yih;Male;Warrior;Wocuyaroma Yih;Jeb Yih;Rago
Yavuxudoya Yih;Female;Wily;Hoyo Yih;Qatezekic Vuz;Rago
Tumijutev Vuz;Male;Oracle;Yoyodi Vuz;Tewima Vuz;Rago
Yunokik Vuz;Female;Wily;Bubo Kabosudu;Vedin Vuz;Rago
Boqoceweju Vuz;Male;Metaphisic;Yoyodi Vuz;Caja Vuz;Rago
Yakim Kabosudu;Male;Runic;Sud Vuz;Koriyexiq Kabosudu;Rago
Koxotihef Yih;Female;Shooter;Narasavub Yih;Tapiriwuge Vuz;Vonijesa
Dozotune Yih;Female;Runic;Lamiwaf Yih;Wixot Kabosudu;Vonijesa
Ruyafige Nocisus;Male;Tamer;Suyezodiz Nocisus;Duyojimi Vuz;Vonijesa
Jezoyapet Vuz;Female;Summoner;Fuvazan Vuz;Lucijeh Vuz;Vonijesa
Varacin Vuz;Male;Necromancer;Ruhime Vuz;Caduc Vuz;Vonijesa
Wuro Vuz;Male;Metaphisic;Diji Vuz;Noyozitabo Vuz;Vonijesa
For Kabosudu;Female;Illusionist;Qosac Vuz;Layis Kabosudu;Vonijesa
Vedin Vuz;Female;Wizard;Hoxa Kabosudu;Zog Vuz;Vonijesa
Zazemuquda Vuz;Male;Shooter;Cobag Vuz;Jisumo Yih;Vonijesa
Xoje Yih;Male;Summoner;Sowi Yih;Vuj Yih;Vonijesa
Gewiwoyofo Kabosudu;Male;Wizard;Yodulenoqu Kabosudu;Wacocuyar Kabosudu;Vonijesa
Bim Vuz;Female;Tamer;Muwa Vuz;Xetob Vuz;Vonijesa
Tokozuyifo Yih;Male;Wizard;Narasavub Yih;Moy Hohacey;Difosahe
Lemeyovu Vuz;Female;Oracle;Viwikep Vuz;Gujahapu Kabosudu;Difosahe
Hegu Kabosudu;Male;Summoner;Ticower Kabosudu;Fawisuduw Kabosudu;Difosahe
Ruwiwalu Yih;Female;Metaphisic;Sowi Yih;Vuvamewipi Kabosudu;Difosahe
Hogaca Vuz;Male;Shooter;Yonegokaca Vuz;Qajabuvan Rusay;Difosahe
Caha Kabosudu;Female;Shooter;Kodokufa Kabosudu;Cufuluk Kabosudu;Difosahe
Cufuluk Kabosudu;Female;Runic;Fuvazan Vuz;Helere Kabosudu;Difosahe
Vuj Yih;Female;Tamer;Levasuh Kabosudu;Jisumo Yih;Difosahe
Qosac Vuz;Male;Shooter;Hogaca Vuz;Romiguvade Kabosudu;Difosahe
Talawinamu Kabosudu;Female;Wizard;Celun Yih;Titulije Kabosudu;Difosahe
Hotey Kabosudu;Female;Wizard;Nim Vuz;Topujazas Kabosudu;Difosahe
Nini Kabosudu;Female;Wizard;Dene Kabosudu;Vuj Yih;Junetata
Gohiseru Yih;Male;Grunph;Narasavub Yih;Sage Kabosudu;Junetata
Zulol Kabosudu;Male;Illusionist;Qosac Vuz;Talawinamu Kabosudu;Num
Moy Hohacey;Female;Warrior;Yigenok Hohacey;Put Yih;Num
Comaci Vuz;Male;Metaphisic;Mizujedapa Vuz;Geqifupo Vuz;Num
Xicemib Vuz;Male;Tamer;Taqapab Vuz;Cihon Vuz;Casotibajo
Danutay Vuz;Male;Tamer;Mixew Kabosudu;Fodijode Vuz;Casotibajo
Bekumemi Vuz;Female;Summoner;Nike Vuz;Dova Kabosudu;Casotibajo
Jisumo Yih;Female;Oracle;Lamiwaf Yih;Fuwini Kabosudu;Semekole
Yebofuribe Coheyawo;Female;Illusionist;Xitalobidi Coheyawo;Vibo Kabosudu;Semekole
Hesuzaxo Kabosudu;Male;Grunph;Pehakayoq Kabosudu;Boxibuxu Vuz;Semekole
Lawiqokon Vuz;Female;Shooter;Yehenaz Vuz;Layis Kabosudu;Refobo
Zamebote Kabosudu;Male;Wizard;Fubi Kabosudu;Muwujebaq Kabosudu;Refobo
Cufex Honoyuvis;Male;Necromancer;Kapuxoba Fera;Beqawawa Honoyuvis;Refobo
Jivovecib Yih;Female;Illusionist;Jera Kabosudu;Moraf Yih;Refobo
Peseqaviro Yih;Female;Summoner;Xoje Yih;Ruwiwalu Yih;Refobo
Xucu Vuz;Female;Runic;Sukux Kabosudu;Ziduye Vuz;Koneye
Netifemom Kabosudu;Female;Shooter;Huqopaj Kabosudu;Wad Soyido;Koneye
Qajabuvan Rusay;Female;Warrior;Zanofo Kabosudu;Pih Rusay;Koneye

