name;sex;regency;father;mother;place
Vexirev Yiyufoyubi;Male;Warrior;Dixapi Yiyufoyubi;Nutoropoz Yiyufoyubi;Got
Yisopin Fobacu;Male;Necromancer;Hekapuxe Fobacu;Car Zupe;Got
Lih Tocosubuqa;Female;Shooter;Kuteyac Tocosubuqa;Fisami Tocosubuqa;Got
Zinut Tocosubuqa;Male;Wizard;Balorezenu Fobacu;Nivijuni Tocosubuqa;Got
Jogetibe Tocosubuqa;Female;Wizard;Luqazevuji Yiyufoyubi;Dayifiwomi Tocosubuqa;Got
Benepofi Tocosubuqa;Female;Warrior;Cagoros Tocosubuqa;Sumo Tocosubuqa;Got
Nemisej Tocosubuqa;Female;Runic;Bijet Yiyufoyubi;Pasucaju Tocosubuqa;Got
Helusuq Tocosubuqa;Male;Oracle;Suso Tocosubuqa;Towu Tocosubuqa;Got
Fapirogubi Rus;Female;Wily;Xocuxece Rus;Jexor Bujohakere;Got
Simiy Fobacu;Male;Warrior;Ligepapubu Fobacu;Tunonin Tocosubuqa;Got
Vucag Fobacu;Male;Illusionist;Sizum Fobacu;Zafejatot Tocosubuqa;Got
Xavow Rus;Male;Tamer;Codewid Rus;Jaka Rus;Got
Xufuwu Tocosubuqa;Male;Oracle;Fahorohif Zupe;Fibuham Tocosubuqa;Got
Zotofewul Yiyufoyubi;Male;Warrior;Wezoy Yiyufoyubi;Kiqufekeg Tocosubuqa;Got
Sor Fobacu;Female;Runic;Ciwa Rus;Tesubicu Fobacu;Got
Cixulafa Tocosubuqa;Male;Oracle;Hozexaro Tocosubuqa;Dukinikumu Yiyufoyubi;Yabuyudetu
Lovoke Zupe;Male;Wizard;Qisef Zupe;Zisa Rus;Yabuyudetu
Luqazevuji Yiyufoyubi;Male;Grunph;Nimix Yiyufoyubi;Cacusoza Zupe;Xamujezu
Kafusa Tocosubuqa;Female;Warrior;Xovatuxeqa Fobacu;Joro Tocosubuqa;Xamujezu
Sowu Mitopilaw;Female;Tamer;Reciwadigi Lob;Deyah Mitopilaw;Gigic
Toqosomez Tocosubuqa;Female;Tamer;Hekapuxe Fobacu;Cegiki Tocosubuqa;Xuyeroh

