name;sex;regency;father;mother;place
Yore Gafoxev;Male;Runic;Gokudoqev Qut;Fesuqaqiya Gafoxev;Zosoj
Lagopux Wesikij;Female;Illusionist;Xevumedi Wesikij;Suyof Cobe;Zosoj
Vuwi Gafoxev;Male;Summoner;Wewejakoj Qut;Tohe Gafoxev;Zosoj
Kecawije Qut;Male;Warrior;Jicocay Gafoxev;Fedevagos Qut;Zosoj
Boci Tiye;Female;Runic;Zohuru Tiye;Sepikomip Gafoxev;Zosoj
Fijugen Tiye;Male;Warrior;Niciju Tiye;Konuvuheqi Tiye;Zosoj
Joj Tiye;Male;Summoner;Zeyohez Tiye;Bus Tiye;Zosoj
Cuzew Wesikij;Female;Oracle;Vijero Wesikij;Xudohafuv Wesikij;Zosoj
Fadosuhafu Gafoxev;Female;Metaphisic;Xevumedi Wesikij;Bozi Gafoxev;Zosoj
Zejob Gafoxev;Male;Wizard;Gevazot Qut;Sexa Gafoxev;Novafeti
Winip Qut;Female;Arcan;Nifeme Tiye;Rosapas Qut;Novafeti
Liqaduwot Tiye;Female;Tamer;Niciju Tiye;Sepikomip Gafoxev;Novafeti
Dizohuhax Gafoxev;Female;Runic;Wupo Gafoxev;Vareziq Lojokuyo;Yahore
Cugiki Gafoxev;Female;Arcan;Wakorobi Gafoxev;Fesuqaqiya Gafoxev;Bogiqa
Nob Gafoxev;Male;Wily;Zotud Gafoxev;Fesuqaqiya Gafoxev;Bogiqa
Jit Cobe;Female;Grunph;Tep Wesikij;Zodixebam Cobe;Bogiqa
Fer Cobe;Female;Shooter;Vuzofomic Wesikij;Fadam Cobe;Bogiqa
Davezahuf Wol;Male;Illusionist;Hufoku Wol;Cab Dizaxiy;Bogiqa
Wuzu Gafoxev;Female;Summoner;Kumexolil Gafoxev;Dovedox Gafoxev;Bogiqa
Fey Qut;Male;Illusionist;Wehetano Qut;Femakafoj Gafoxev;Bewuze
Zohuru Tiye;Male;Wily;Bugoqel Gafoxev;Wozi Tiye;Bewuze
Kebovuj Qut;Female;Oracle;Gepemad Gafoxev;Yorumevule Qut;Bewuze
Juza Qut;Female;Metaphisic;Luyuvajepe Gafoxev;Holenitixo Qut;Bewuze
Xitaf Cobe;Female;Shooter;Kixewalaqa Cobe;Situ Qut;Bewuze
Gukohu Cobe;Male;Wily;Vitet Qut;Rojeb Cobe;Vayofu
Tesumal Tiye;Female;Wizard;Bey Tiye;Sayinoteve Cobe;Nozo
Qaxu Wesikij;Female;Arcan;Rusajito Dagugop;Begebeqev Wesikij;Nozo
Hogen Qut;Female;Oracle;Data Cobe;Pexawode Qut;Feloxad
Mahaq Lojokuyo;Male;Warrior;Dazur Lojokuyo;Cab Dizaxiy;Feloxad
Rifinedo Wesikij;Male;Necromancer;Mahaq Lojokuyo;Begebeqev Wesikij;Feloxad
Zaf Qut;Female;Shooter;Tene Qut;Xer Qut;Feloxad
Qivuyikep Gafoxev;Male;Necromancer;Fid Gafoxev;Fedevagos Qut;Fas
Kopixewuto Gafoxev;Female;Metaphisic;Bewanetop Gafoxev;Hurehiz Gafoxev;Fas
Rawulozit Qut;Male;Wily;Rifinedo Wesikij;Jurogunip Qut;Fas

